año,peronista,presidente_17_oct,notas,etapa
1974,SI,Isabel Perón,Perón muere 1/7/1974; asume Isabel (vicepresidenta),Perón / Isabel
1975,SI,Isabel Perón,,Perón / Isabel
1976,NO,Gobierno militar (Videla),Golpe de Estado 24/3/1976,Dictadura 76-83
1977,NO,Gobierno militar (Videla),,Dictadura 76-83
1978,NO,Gobierno militar (Videla),,Dictadura 76-83
1979,NO,Gobierno militar (Videla),,Dictadura 76-83
1980,NO,Gobierno militar (Videla),,Dictadura 76-83
1981,NO,Gobierno militar (Viola/Galtieri),,Dictadura 76-83
1982,NO,Gobierno militar (Bignone),,Dictadura 76-83
1983,NO,Gobierno militar (Bignone),Alfonsín asume recién el 10/12/1983,Dictadura 76-83
1984,NO,Raúl Alfonsín (UCR),,Alfonsín
1985,NO,Raúl Alfonsín (UCR),,Alfonsín
1986,NO,Raúl Alfonsín (UCR),,Alfonsín
1987,NO,Raúl Alfonsín (UCR),,Alfonsín
1988,NO,Raúl Alfonsín (UCR),,Alfonsín
1989,SI,Carlos Menem,Menem asume anticipadamente el 8/7/1989; para el 17/10 ya era peronista,Menem
1990,SI,Carlos Menem,,Menem
1991,SI,Carlos Menem,,Menem
1992,SI,Carlos Menem,,Menem
1993,SI,Carlos Menem,,Menem
1994,SI,Carlos Menem,,Menem
1995,SI,Carlos Menem,,Menem
1996,SI,Carlos Menem,,Menem
1997,SI,Carlos Menem,,Menem
1998,SI,Carlos Menem,,Menem
1999,SI,Carlos Menem,Menem hasta el 10/12/1999; para el 17/10 seguía siendo Menem,Menem
2000,NO,Fernando de la Rúa (Alianza),,De la Rúa
2001,NO,Fernando de la Rúa (Alianza),De la Rúa renuncia el 20/12/2001; para el 17/10 seguía siendo De la Rúa,De la Rúa
2002,SI,Eduardo Duhalde,Duhalde (PJ) asume 1/1/2002 tras la crisis de dic. 2001,Duhalde + NK + CFK
2003,SI,Néstor Kirchner,Kirchner asume 25/5/2003; para el 17/10 ya era Kirchner,Duhalde + NK + CFK
2004,SI,Néstor Kirchner,,Duhalde + NK + CFK
2005,SI,Néstor Kirchner,,Duhalde + NK + CFK
2006,SI,Néstor Kirchner,,Duhalde + NK + CFK
2007,SI,Néstor Kirchner,Kirchner hasta el 10/12/2007; para el 17/10 seguía siendo Kirchner,Duhalde + NK + CFK
2008,SI,Cristina Fernández de Kirchner,,Duhalde + NK + CFK
2009,SI,Cristina Fernández de Kirchner,,Duhalde + NK + CFK
2010,SI,Cristina Fernández de Kirchner,,Duhalde + NK + CFK
2011,SI,Cristina Fernández de Kirchner,,Duhalde + NK + CFK
2012,SI,Cristina Fernández de Kirchner,,Duhalde + NK + CFK
2013,SI,Cristina Fernández de Kirchner,,Duhalde + NK + CFK
2014,SI,Cristina Fernández de Kirchner,,Duhalde + NK + CFK
2015,SI,Cristina Fernández de Kirchner,CFK hasta el 10/12/2015; para el 17/10 seguía siendo CFK,Duhalde + NK + CFK
2016,NO,Mauricio Macri (PRO/Cambiemos),,Macri
2017,NO,Mauricio Macri (PRO/Cambiemos),,Macri
2018,NO,Mauricio Macri (PRO/Cambiemos),,Macri
2019,NO,Mauricio Macri (PRO/Cambiemos),Macri hasta el 10/12/2019; para el 17/10 seguía siendo Macri,Macri
2020,SI,Alberto Fernández,Asume 10/12/2019,Alberto Fernández
2021,SI,Alberto Fernández,,Alberto Fernández
2022,SI,Alberto Fernández,,Alberto Fernández
2023,SI,Alberto Fernández,Alberto Fernández hasta el 10/12/2023; para el 17/10 seguía siendo Fernández,Alberto Fernández
2024,NO,Javier Milei (LLA),Asume 10/12/2023,Milei
2025,NO,Javier Milei (LLA),,Milei
2026,NO,Javier Milei (LLA),,Milei
